M40[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148]
0.142938,0.109353,0.0989473,0.0853669,0.0992332,0.125119,0.0930229,0.0748459,0.0888989,0.0748986,0.0737265,0.0625652,0.086685,0.0950633,0.070204,0.0676767,0.0992337,0.0881116
0.14953,0.106843,0.102446,0.0890723,0.104154,0.127908,0.0968691,0.0779181,0.0916045,0.0844599,0.0724089,0.0663998,0.0879925,0.100357,0.0776094,0.0734532,0.10962,0.089725
0.148692,0.110676,0.1083,0.0954518,0.10932,0.130308,0.0996158,0.0825833,0.0928132,0.0882116,0.0760704,0.0702612,0.088626,0.094929,0.0781569,0.0741682,0.109184,0.0955753
0.14738,0.116443,0.101503,0.0894772,0.10531,0.128382,0.09695,0.0770662,0.0955963,0.0808136,0.0755693,0.0642423,0.0894084,0.0974424,0.0707621,0.0716688,0.104168,0.0927931
0.152712,0.118095,0.110537,0.0959367,0.110864,0.135937,0.103917,0.0828788,0.0999213,0.0876841,0.0777488,0.0699979,0.0927564,0.100522,0.0742695,0.0761789,0.109871,0.0923036
0.152613,0.115826,0.108349,0.0982594,0.112209,0.137063,0.102865,0.081374,0.100088,0.0885539,0.0775599,0.0683838,0.0963469,0.101496,0.0781068,0.0760476,0.111331,0.095319
0.159789,0.118649,0.110944,0.0957381,0.109028,0.136604,0.102829,0.0815746,0.0970857,0.0913523,0.0790752,0.0731958,0.0906613,0.0978131,0.0760977,0.0792767,0.112995,0.0970295
0.158633,0.11869,0.110536,0.0970181,0.109895,0.138281,0.102678,0.0801685,0.09959,0.0886504,0.0802485,0.0683585,0.0925786,0.100444,0.0761814,0.0742586,0.109113,0.0963523
0.162635,0.118608,0.109441,0.0956376,0.110981,0.135438,0.102218,0.0797414,0.0952402,0.0892241,0.0766001,0.0695747,0.0902656,0.0994496,0.0740762,0.0735232,0.107639,0.0938663
0.172048,0.123958,0.114994,0.101085,0.115542,0.140073,0.105654,0.0839066,0.100855,0.0916171,0.0798404,0.0715046,0.0938697,0.101081,0.0768229,0.0758458,0.110068,0.0948264
0.175193,0.126724,0.11623,0.104013,0.117008,0.140995,0.106847,0.0848502,0.100904,0.0928066,0.0812479,0.0718343,0.0942951,0.101705,0.0782392,0.0760859,0.110484,0.0957538
0.17494,0.125627,0.1162,0.102579,0.116491,0.140705,0.106677,0.084163,0.101233,0.0918039,0.0809782,0.0713752,0.0938923,0.100817,0.0779954,0.0752325,0.109654,0.0949163
0.175286,0.125139,0.114523,0.101028,0.115551,0.139559,0.10576,0.0831351,0.0998685,0.0915017,0.079925,0.07109,0.0924262,0.100161,0.0765265,0.0746505,0.108497,0.0939363
0.184027,0.118712,0.107356,0.0937355,0.105515,0.133266,0.101133,0.0737738,0.095701,0.0857116,0.0729984,0.0652734,0.0864617,0.0953793,0.0718908,0.0693064,0.101761,0.0897737
0.187885,0.117139,0.101815,0.0882829,0.0999447,0.128884,0.0947258,0.0701282,0.0892815,0.0804391,0.068843,0.0629097,0.0822164,0.0892092,0.0690536,0.0668261,0.0991417,0.0855402
0.188122,0.1094,0.0927045,0.0843586,0.0981351,0.12304,0.0927281,0.0673148,0.086463,0.0771604,0.0676754,0.0566961,0.0763875,0.0864387,0.0640438,0.0607174,0.092043,0.0826499
0.184569,0.103366,0.0883562,0.0753866,0.089083,0.116569,0.0834507,0.0625466,0.0808337,0.073884,0.063394,0.0499061,0.0713412,0.0815614,0.0568136,0.0594681,0.0917838,0.0772765
0.179227,0.100464,0.0922765,0.0715794,0.0931046,0.114347,0.0868267,0.0645851,0.0829251,0.0691811,0.0629215,0.0586116,0.0776764,0.0855471,0.0620772,0.0558664,0.0966357,0.0729613
0.158089,0.0946187,0.0843156,0.0686463,0.0853067,0.118959,0.0819677,0.0645307,0.0787487,0.0691412,0.0625451,0.0573693,0.0722305,0.083586,0.0639382,0.0613174,0.0940651,0.0726067
0.136406,0.0908929,0.084222,0.0804156,0.0818567,0.112018,0.0826745,0.0578545,0.0738155,0.0668144,0.0652843,0.0471353,0.0728679,0.078273,0.0514882,0.0654341,0.0910278,0.0730382
0.13357,0.0807596,0.0783522,0.0609635,0.0734152,0.104775,0.0679428,0.0557034,0.0687145,0.0562886,0.0512842,0.0402867,0.0695864,0.0683518,0.0577889,0.046952,0.080613,0.0711405
0.136895,0.0846817,0.0730469,0.0752474,0.0905358,0.109474,0.0812276,0.0639695,0.074409,0.0676656,0.0623503,0.053963,0.0772314,0.0828286,0.0565044,0.0539686,0.0933668,0.0803628
0.126891,0.071905,0.0771647,0.0607607,0.0827455,0.104909,0.0672216,0.0546443,0.0652985,0.0567587,0.0528158,0.0451601,0.0679051,0.0694433,0.0538276,0.0550632,0.0828439,0.0757542
0.132982,0.0840451,0.0808741,0.0751516,0.0811541,0.107665,0.0750732,0.0597922,0.0790895,0.0664666,0.0596488,0.0489522,0.0752094,0.0799133,0.0654642,0.0625203,0.091382,0.0814844
0.123477,0.0798235,0.0728075,0.0648579,0.0741514,0.103477,0.0709521,0.0520842,0.076927,0.0618519,0.0583733,0.0397193,0.0659419,0.0703606,0.0468409,0.053928,0.0929732,0.0826134
0.132375,0.0832982,0.0752423,0.0684977,0.0842179,0.116193,0.085998,0.0595617,0.075764,0.0662013,0.0607186,0.0466275,0.0786302,0.0846304,0.0648487,0.0576207,0.0927143,0.0870876
0.129942,0.0926191,0.0802301,0.084994,0.095911,0.117225,0.0826675,0.0649042,0.0802943,0.0721268,0.0574471,0.0517414,0.0754885,0.0833565,0.0637728,0.0649524,0.101333,0.0816221
0.128564,0.0933776,0.0830758,0.0726266,0.0875535,0.113972,0.0833385,0.0642195,0.0732896,0.0735877,0.0611179,0.0518436,0.0800569,0.0802088,0.0616828,0.0627924,0.0973761,0.0824403
0.142371,0.0995881,0.0965539,0.0823265,0.0998549,0.12576,0.0904327,0.0710445,0.0868871,0.0779973,0.0694339,0.0597787,0.082381,0.0905389,0.0672465,0.0656333,0.104017,0.0883285
0.133117,0.100167,0.0876442,0.0757672,0.0912777,0.122458,0.0842969,0.0672902,0.0846454,0.0740747,0.0679338,0.0569665,0.0767496,0.0842458,0.0593432,0.0598902,0.0946655,0.0835719
0.140438,0.0995355,0.0906821,0.0794348,0.099185,0.124254,0.0889178,0.0722729,0.0840255,0.0767488,0.0659492,0.0599042,0.0793979,0.0898624,0.0590032,0.0664521,0.10076,0.0808314
0.138697,0.101434,0.0945009,0.0824783,0.104348,0.120973,0.09305,0.0670866,0.0846056,0.0765205,0.0687496,0.0588377,0.0792494,0.0856575,0.0624701,0.0641155,0.0987751,0.0886985
0.142901,0.0982772,0.09132,0.0769963,0.0955794,0.119178,0.089627,0.0676609,0.0855782,0.0729961,0.0621657,0.0536893,0.0760993,0.0905688,0.05943,0.063245,0.0955062,0.0825978
0.146713,0.0963906,0.0880082,0.0804843,0.095788,0.11651,0.0873577,0.0663282,0.0813309,0.0711583,0.0605811,0.0500728,0.0745422,0.0856573,0.0603645,0.0637223,0.0934272,0.082866
0.150717,0.0963028,0.0828005,0.073616,0.0942901,0.122125,0.0856677,0.0590592,0.0811467,0.0726001,0.0615744,0.0539629,0.0745347,0.0853334,0.0630517,0.0648465,0.0978286,0.0794507
0.146827,0.0985379,0.088192,0.073282,0.0894244,0.115461,0.0865637,0.0616251,0.07808,0.0677337,0.0605222,0.0521878,0.072526,0.0851013,0.0585162,0.0603191,0.0933284,0.0788857
0.15073,0.100681,0.0921942,0.0772441,0.0949857,0.124858,0.0903673,0.0673751,0.0861331,0.0781554,0.0711186,0.0607018,0.0764246,0.0893332,0.0638492,0.0661832,0.102918,0.0797866
0.141542,0.0967581,0.0839274,0.070347,0.0902351,0.115747,0.0843779,0.0639422,0.0802128,0.0707856,0.0578128,0.0505317,0.0724898,0.0826824,0.0540241,0.0600006,0.095621,0.0787484
0.129981,0.0909313,0.0871926,0.0734584,0.0895153,0.12106,0.0851356,0.0632268,0.0719854,0.0724645,0.0682446,0.0536619,0.0756332,0.0805156,0.0612167,0.0628986,0.0924998,0.081626
0.126077,0.0962016,0.0897706,0.0747513,0.0878748,0.119475,0.086973,0.0652825,0.0816837,0.0719613,0.0652149,0.0542113,0.0763714,0.0871311,0.0608147,0.0622166,0.0939039,0.0871484
0.117726,0.0894694,0.0829782,0.0781583,0.0871072,0.113207,0.0847483,0.0652033,0.0744269,0.0690548,0.0604281,0.0479941,0.0729297,0.0869928,0.0573194,0.0589845,0.0879781,0.0848234
0.1212,0.0886934,0.0867661,0.0782948,0.0902181,0.119782,0.0833963,0.066814,0.0789153,0.0736881,0.0612282,0.053999,0.0813389,0.0861487,0.0614788,0.0625067,0.0939437,0.0826551
0.124341,0.0955111,0.0860958,0.0777278,0.0873676,0.125123,0.0899988,0.0670734,0.0821401,0.0765758,0.0665725,0.0627267,0.0823688,0.0923694,0.0671472,0.0641257,0.102497,0.0844579
0.123961,0.0973173,0.098187,0.0822842,0.0980448,0.120001,0.0912261,0.0704467,0.0852275,0.0750478,0.0697174,0.0585149,0.0827145,0.0878447,0.0682485,0.066491,0.10116,0.0870185
0.129053,0.103995,0.0933643,0.0864287,0.100813,0.125494,0.0924562,0.0731308,0.0870386,0.0819759,0.0696483,0.0611652,0.0857398,0.0908796,0.0725348,0.068268,0.0984036,0.0856226
0.137138,0.101023,0.0973662,0.0821467,0.104798,0.126287,0.0905459,0.0745071,0.0913832,0.0781607,0.0686195,0.0613916,0.0870431,0.0914229,0.0687506,0.0656102,0.100893,0.0884275
0.14007,0.102419,0.0949081,0.0820142,0.0989482,0.122252,0.0944491,0.0689778,0.0867507,0.0800544,0.0673908,0.0572684,0.0787061,0.0873032,0.0672922,0.064304,0.0982001,0.0854566
0.143126,0.106982,0.0986899,0.0834838,0.101386,0.125301,0.0913307,0.0709797,0.0882467,0.0758731,0.0680899,0.059553,0.0840033,0.0903847,0.0661629,0.0668491,0.100448,0.0863091
0.145671,0.101926,0.0936741,0.081439,0.0969875,0.122347,0.0913358,0.0668011,0.0846945,0.0769128,0.0675729,0.0589079,0.0795009,0.0884763,0.0631532,0.0643142,0.0939965,0.0838888
0.148265,0.105716,0.101238,0.0823153,0.099785,0.125874,0.0910141,0.0704862,0.0899584,0.0752514,0.0668746,0.0615151,0.0841586,0.0902801,0.0665749,0.0674608,0.100734,0.0849026
0.150973,0.106237,0.0970086,0.0821594,0.0992228,0.124235,0.0913257,0.0709953,0.0858651,0.0777688,0.0667814,0.0565579,0.0831635,0.0896833,0.0693567,0.0632971,0.0990917,0.0849424
0.145582,0.103556,0.0904592,0.0828744,0.0999803,0.123004,0.090153,0.0659161,0.0840242,0.0775517,0.0639181,0.0563519,0.0762275,0.0856763,0.0644745,0.061688,0.094543,0.083315
0.134106,0.103198,0.0955237,0.083939,0.0972279,0.124107,0.091849,0.0653137,0.0871495,0.0788752,0.0676301,0.0569946,0.0796199,0.0940662,0.0699764,0.0650325,0.100452,0.0864455
0.12893,0.101246,0.0949787,0.0837766,0.0980176,0.124584,0.0923931,0.0692372,0.0898988,0.0766863,0.0700302,0.0639108,0.0810746,0.0913609,0.0669036,0.0655277,0.0999539,0.0881127
0.120477,0.0951499,0.0950714,0.0789407,0.0973685,0.122141,0.0909631,0.067515,0.0868061,0.0744345,0.0650977,0.0618762,0.0782042,0.0900066,0.0697056,0.0646004,0.0974603,0.088039
0.115005,0.0985894,0.0932656,0.0791653,0.0967906,0.119494,0.0868747,0.0704025,0.0854896,0.0776362,0.0656797,0.0599991,0.0816541,0.0892942,0.0686312,0.0628976,0.0994206,0.0853297
0.112075,0.0969735,0.0949475,0.0810879,0.0953864,0.122334,0.0895753,0.0702612,0.0866611,0.0782244,0.0664183,0.0579049,0.0761358,0.0892076,0.0658047,0.0653478,0.0979422,0.0840747
0.123279,0.100746,0.0949976,0.0800598,0.0983775,0.124037,0.088601,0.0712986,0.0876545,0.081805,0.0687925,0.0611731,0.0803471,0.0941578,0.0705478,0.0701208,0.102944,0.0932737
0.135665,0.104733,0.100919,0.0878403,0.100529,0.126507,0.0991,0.0767952,0.0905781,0.0830907,0.0779148,0.0636324,0.0872501,0.0954794,0.0734404,0.0692617,0.109134,0.0939167
0.133599,0.10527,0.0942251,0.083927,0.0989304,0.125214,0.0944204,0.0727221,0.0904236,0.0802342,0.0681508,0.0610266,0.0866104,0.0906503,0.0676373,0.0688804,0.1017,0.0871468
0.141272,0.100823,0.100079,0.0819065,0.101095,0.127347,0.093444,0.0672465,0.0878021,0.0806066,0.063627,0.0624034,0.0813606,0.0889816,0.0706633,0.0680865,0.100868,0.0867145
0.143849,0.105875,0.100755,0.088828,0.102555,0.12674,0.0947859,0.0742282,0.0897223,0.0820686,0.0714483,0.0677175,0.0845409,0.093273,0.0719583,0.0725097,0.103869,0.0914897
0.149011,0.112121,0.104533,0.0874423,0.107682,0.131772,0.0979114,0.0748587,0.095026,0.0832917,0.0734251,0.0697088,0.086507,0.0935727,0.0770433,0.072172,0.108167,0.0949761
0.144833,0.112369,0.100622,0.0894269,0.104831,0.126682,0.0952027,0.0763719,0.0919179,0.0845951,0.072124,0.0660623,0.085661,0.0956706,0.0717562,0.0709201,0.102925,0.0932872
0.145385,0.110369,0.0997553,0.0889747,0.105408,0.130053,0.0976264,0.0732123,0.0904479,0.0846624,0.0729885,0.064403,0.0869892,0.0961619,0.0723065,0.0663961,0.101561,0.089564
0.150268,0.113348,0.107099,0.0907701,0.107412,0.134721,0.0987845,0.0788323,0.0927088,0.0871257,0.0729767,0.0635922,0.0871383,0.0972535,0.0776668,0.0731426,0.101687,0.0934842
0.152212,0.10927,0.10221,0.0883646,0.105542,0.128734,0.0938333,0.0719833,0.0866099,0.0848122,0.0724134,0.0595252,0.0833883,0.0942104,0.0719695,0.0689771,0.102586,0.0878678
0.158388,0.115288,0.103605,0.0907054,0.106489,0.130151,0.0976872,0.0767081,0.0903724,0.0827607,0.0714693,0.0650048,0.0863149,0.095757,0.0722653,0.0681973,0.103411,0.0883053
0.166273,0.114898,0.103824,0.0910659,0.105355,0.127534,0.0965407,0.0759789,0.0936582,0.08274,0.0726892,0.0641473,0.0844831,0.0933807,0.0702475,0.0682469,0.10164,0.0883203
0.167735,0.112149,0.0999499,0.0870312,0.0998459,0.128399,0.0921012,0.0710409,0.0864307,0.081243,0.0685613,0.0631426,0.0833097,0.0901189,0.0686375,0.0648045,0.0980876,0.0839499
0.170487,0.108272,0.0982597,0.0843029,0.0980176,0.125038,0.0918665,0.0691278,0.0842697,0.0745843,0.0696356,0.0597897,0.0789731,0.0872455,0.0633643,0.0604208,0.0950891,0.0801109
0.179133,0.107648,0.0960931,0.0837013,0.0986637,0.124327,0.0902461,0.0697499,0.086596,0.0786717,0.0667829,0.0564052,0.0821703,0.0872266,0.0627856,0.0638081,0.0982931,0.0816631
0.17875,0.104924,0.0952645,0.0827755,0.09807,0.120129,0.0890775,0.0674776,0.0827103,0.0756132,0.0615593,0.0537883,0.0742506,0.0861964,0.0598376,0.0561882,0.0978042,0.0811503
0.168657,0.0977554,0.0972269,0.0725498,0.0937158,0.113482,0.0808605,0.0635651,0.081322,0.0710659,0.0607558,0.0509132,0.0728007,0.0809164,0.0571457,0.0540806,0.0930904,0.0731961
0.154866,0.0922479,0.0851856,0.0699102,0.0827044,0.106412,0.076858,0.0616371,0.0757188,0.0627822,0.0525817,0.0448464,0.070322,0.0792456,0.0542757,0.0518199,0.0901627,0.0690473
0.146294,0.098357,0.0901681,0.0728572,0.0980148,0.123092,0.091698,0.0631684,0.0910295,0.0761122,0.0585878,0.0580914,0.0793227,0.0912109,0.065206,0.0640705,0.101233,0.0845046
0.13059,0.0839905,0.0778427,0.0665346,0.0763839,0.108358,0.0808824,0.0624268,0.0828095,0.0594591,0.0590562,0.050252,0.0701399,0.0785055,0.0507741,0.0535212,0.0927342,0.0739923
0.137846,0.092401,0.0869542,0.0828731,0.0943891,0.119097,0.0853373,0.0608452,0.0809076,0.0691993,0.06644,0.0578124,0.0824612,0.091238,0.0671413,0.0709547,0.098417,0.0868891
0.139114,0.0969736,0.0876044,0.0763041,0.0920283,0.115123,0.0893108,0.0632332,0.0799973,0.0733626,0.0685489,0.0583138,0.0719459,0.0807926,0.066686,0.0596331,0.0953748,0.0870309
0.142358,0.0973361,0.0951875,0.0863905,0.0964205,0.120393,0.0926304,0.0693652,0.0845059,0.0797388,0.069008,0.0604508,0.0858923,0.0884793,0.0724422,0.0702777,0.102056,0.0841366
0.14158,0.106468,0.102482,0.0843813,0.0941534,0.123016,0.0928342,0.068265,0.0903461,0.0811256,0.0664636,0.0636879,0.0880752,0.0920158,0.0720703,0.0661572,0.106999,0.0909231
0.147373,0.103217,0.0950091,0.0883698,0.103322,0.124327,0.0962027,0.0724028,0.0898454,0.0853761,0.0727894,0.0670282,0.0864952,0.0923444,0.0722137,0.0739005,0.107799,0.0930164
0.145047,0.0996414,0.0934756,0.0841966,0.0982547,0.124554,0.0884978,0.0683006,0.0848009,0.0788175,0.0731858,0.0588049,0.0884179,0.0862013,0.0671485,0.0651735,0.0998337,0.0900277
0.147914,0.109631,0.0981357,0.08675,0.104738,0.128801,0.0966156,0.072291,0.093153,0.0820387,0.0733744,0.0612228,0.0839356,0.0940771,0.0697168,0.0698905,0.102514,0.0910566
0.148458,0.111091,0.102308,0.0889578,0.107242,0.132178,0.100296,0.0770544,0.0939595,0.0842233,0.0725518,0.0628037,0.0883742,0.0955357,0.0726836,0.0751763,0.107125,0.0920744
0.153887,0.115754,0.105713,0.093277,0.108009,0.134317,0.101845,0.0806229,0.0935056,0.0881174,0.0771061,0.0721523,0.0886356,0.0958066,0.0754,0.07737,0.10504,0.0946349
0.15093,0.113039,0.105116,0.0950504,0.104963,0.133056,0.099776,0.0800149,0.0910788,0.0851294,0.0750064,0.0642244,0.087628,0.0975532,0.072755,0.0717915,0.109018,0.0909825
0.156646,0.115361,0.106777,0.0951626,0.112907,0.130709,0.101982,0.0776646,0.0963367,0.0879382,0.0755167,0.0657183,0.0925296,0.0957682,0.0727548,0.0750789,0.10708,0.0922641
0.159685,0.115985,0.107113,0.0943847,0.108712,0.131162,0.101068,0.0791486,0.0967457,0.0888921,0.0773344,0.0669897,0.0909846,0.0967426,0.074514,0.0747072,0.104919,0.0932549
0.162719,0.114619,0.106582,0.094879,0.108865,0.136205,0.0982659,0.0767919,0.0962815,0.0865881,0.0764889,0.0671248,0.0878879,0.0974256,0.0719372,0.0701833,0.104641,0.0908437
