V05[1.2],V06[7.8],V08[6.9],V12[11.9],V16[6.0],V20[5.7],V24[5.5],V27[1.7],N05[1.8],N06[5.2],N08[6.5],N12[7.0],N16[9.0],N20[10.5],N24[16.7],N28[3.6],S06[1.4],S07[6.5],S09[8.1],S13[10.3],S17[19.0],S21[11.2],S25[12.2],S29[4.9]
0.231732,0.222075,0.219974,0.20986,0.214972,0.21693,0.203221,0.213602,0.22095,0.232812,0.225742,0.235806,0.22061,0.220907,0.225876,0.213124,0.239119,0.279129,0.26143,0.267949,0.260078,0.257832,0.254398,0.249966
0.207907,0.216379,0.212378,0.206324,0.21887,0.224255,0.20193,0.217871,0.222524,0.235695,0.227577,0.227941,0.224767,0.228296,0.221666,0.213521,0.243198,0.28123,0.259588,0.267037,0.249388,0.261082,0.255606,0.244327
0.207943,0.221577,0.204239,0.206273,0.226133,0.21761,0.205435,0.210386,0.200728,0.225472,0.224012,0.22965,0.221616,0.21822,0.234014,0.206702,0.253636,0.276053,0.268727,0.264427,0.258261,0.265556,0.245055,0.257861
0.215951,0.235115,0.216097,0.224959,0.225741,0.228343,0.201537,0.206735,0.208481,0.21834,0.220454,0.216968,0.227946,0.224679,0.234411,0.217988,0.241069,0.290033,0.266164,0.27436,0.270287,0.2809,0.247474,0.237219
0.220281,0.235019,0.217509,0.226637,0.238227,0.21638,0.211934,0.208543,0.213892,0.219213,0.230811,0.233122,0.214303,0.201562,0.234745,0.207806,0.257006,0.283444,0.270879,0.292757,0.266493,0.268858,0.253973,0.244526
0.228627,0.233135,0.242567,0.24167,0.253234,0.23943,0.235072,0.219469,0.221973,0.243086,0.237506,0.248932,0.231063,0.244253,0.234951,0.216681,0.270915,0.312283,0.301246,0.32397,0.300928,0.296813,0.286023,0.275563
0.242078,0.271558,0.263065,0.257176,0.28908,0.272005,0.2556,0.249396,0.23246,0.282372,0.252728,0.262901,0.26624,0.258384,0.274682,0.265158,0.292448,0.340342,0.344387,0.330472,0.351751,0.335058,0.302081,0.286645
0.305898,0.304055,0.303021,0.284339,0.317725,0.289831,0.279638,0.253117,0.269032,0.313133,0.321819,0.326641,0.289066,0.298505,0.291496,0.264643,0.309883,0.378289,0.355314,0.354149,0.347745,0.356488,0.318158,0.285953
0.310344,0.311558,0.339789,0.320491,0.339881,0.320042,0.315956,0.268355,0.293736,0.341141,0.333576,0.353235,0.307265,0.32848,0.325026,0.253033,0.328372,0.38641,0.371365,0.366697,0.362933,0.380704,0.36282,0.317864
0.31122,0.334184,0.334061,0.304792,0.340277,0.335074,0.330162,0.293005,0.306104,0.349788,0.332093,0.355602,0.322837,0.3382,0.343723,0.266032,0.341699,0.390006,0.396669,0.394143,0.367787,0.388831,0.363694,0.324129
0.325749,0.349899,0.363005,0.323825,0.35751,0.356499,0.32491,0.299932,0.32831,0.370065,0.363454,0.390475,0.320235,0.360351,0.360072,0.289248,0.357042,0.429153,0.399955,0.410873,0.383896,0.399399,0.367704,0.353928
0.347078,0.36001,0.371819,0.335102,0.375027,0.353216,0.345774,0.315852,0.340861,0.386766,0.375629,0.383857,0.335118,0.367831,0.368331,0.311065,0.375896,0.434873,0.432509,0.421447,0.407594,0.411978,0.38185,0.364054
0.367185,0.357723,0.377583,0.342235,0.390167,0.373552,0.365078,0.317327,0.347869,0.406936,0.378544,0.409174,0.347163,0.381676,0.376926,0.310002,0.389983,0.450733,0.42751,0.433841,0.423941,0.416738,0.392325,0.380237
0.374682,0.370982,0.392516,0.352762,0.403776,0.379611,0.367002,0.330525,0.364576,0.408172,0.391441,0.411999,0.359802,0.385497,0.388606,0.31956,0.395177,0.471031,0.446338,0.454517,0.422126,0.431011,0.402628,0.379016
0.384558,0.388554,0.40162,0.362434,0.409614,0.396699,0.372738,0.33192,0.373011,0.415924,0.39553,0.425429,0.364451,0.398817,0.405275,0.325417,0.391668,0.463016,0.437309,0.44174,0.426582,0.439995,0.411598,0.384232
0.390064,0.3823,0.40469,0.367611,0.403355,0.386931,0.382833,0.339704,0.375143,0.425455,0.409121,0.421573,0.370854,0.40571,0.407979,0.341067,0.4074,0.467151,0.447587,0.453105,0.430052,0.440668,0.405826,0.390858
0.384342,0.379845,0.403522,0.370187,0.412041,0.392026,0.365751,0.340229,0.381948,0.428157,0.401968,0.419652,0.369794,0.398097,0.405823,0.350979,0.406686,0.467698,0.439874,0.447778,0.419406,0.437746,0.405308,0.38829
0.37976,0.386918,0.386935,0.379495,0.407169,0.392068,0.37132,0.342834,0.370961,0.42128,0.402646,0.421815,0.367748,0.394106,0.406332,0.343889,0.403402,0.465445,0.439057,0.437135,0.423766,0.432555,0.403936,0.382054
0.377547,0.389843,0.386003,0.373114,0.407325,0.390423,0.36924,0.339734,0.371803,0.416478,0.405954,0.41293,0.373433,0.387635,0.398745,0.343757,0.399414,0.463393,0.439011,0.438919,0.41481,0.423127,0.40155,0.380689
0.372691,0.382698,0.388071,0.379633,0.400706,0.396429,0.364031,0.345466,0.368551,0.406831,0.394431,0.411321,0.365674,0.383755,0.394741,0.349722,0.386761,0.455496,0.422856,0.425214,0.415602,0.415924,0.384831,0.364731
0.36823,0.379657,0.381049,0.378729,0.394298,0.382479,0.363224,0.345348,0.358337,0.407459,0.393745,0.400587,0.369577,0.375109,0.388721,0.360309,0.377499,0.428797,0.419792,0.417496,0.407845,0.407806,0.385406,0.364283
0.349617,0.37449,0.365531,0.364624,0.380712,0.383492,0.348942,0.338244,0.342537,0.387361,0.391841,0.388714,0.363391,0.372734,0.385213,0.335907,0.372384,0.429462,0.412962,0.417256,0.396628,0.394457,0.373853,0.34736
0.353378,0.36024,0.354667,0.35837,0.372912,0.36645,0.331665,0.326662,0.335111,0.381503,0.374274,0.374322,0.35369,0.366455,0.37426,0.33443,0.361656,0.427665,0.413047,0.395215,0.387149,0.388965,0.36461,0.345602
0.329954,0.362939,0.349784,0.35731,0.37068,0.370945,0.332102,0.318009,0.333488,0.379197,0.369119,0.363528,0.351614,0.360382,0.372972,0.344809,0.339159,0.414455,0.377135,0.396172,0.37081,0.370201,0.359387,0.32932
0.341901,0.350747,0.332272,0.360914,0.366175,0.36115,0.327422,0.350577,0.318024,0.373417,0.366231,0.372825,0.374127,0.348868,0.356466,0.349432,0.321684,0.386572,0.368649,0.374351,0.36774,0.352976,0.339573,0.320638
0.356057,0.350013,0.343318,0.34335,0.369808,0.366508,0.330464,0.332018,0.322763,0.351454,0.354713,0.389633,0.365337,0.366361,0.35057,0.312224,0.35969,0.400596,0.405783,0.395098,0.399693,0.382999,0.361235,0.327264
0.354623,0.357385,0.385497,0.354312,0.374716,0.380356,0.357216,0.3043,0.319472,0.406536,0.374093,0.4067,0.355527,0.358149,0.392376,0.318486,0.370267,0.442999,0.426076,0.422737,0.435946,0.42344,0.390528,0.355747
0.35705,0.382675,0.39584,0.354407,0.398109,0.386749,0.37803,0.329997,0.367436,0.404847,0.387078,0.412947,0.358547,0.412527,0.411162,0.329484,0.399032,0.478894,0.463141,0.466258,0.446335,0.439819,0.417676,0.382654
0.402654,0.403063,0.447856,0.397424,0.436058,0.424913,0.3984,0.35976,0.375271,0.453744,0.41885,0.455325,0.385623,0.414082,0.429717,0.359209,0.410848,0.507613,0.491768,0.502269,0.455576,0.4727,0.446799,0.403572
0.416651,0.425115,0.468997,0.422516,0.483645,0.447465,0.431375,0.374888,0.427165,0.4577,0.460117,0.475665,0.416853,0.451818,0.441888,0.363719,0.458292,0.529893,0.514821,0.509854,0.493075,0.485776,0.457863,0.432491
0.462996,0.44707,0.478797,0.442094,0.484975,0.471571,0.442303,0.4064,0.453312,0.493247,0.480895,0.534326,0.436485,0.467379,0.471519,0.377008,0.478013,0.567776,0.534427,0.549291,0.507924,0.531845,0.484682,0.444114
0.472213,0.481801,0.508657,0.467044,0.507246,0.493929,0.470791,0.414551,0.468484,0.517247,0.491731,0.525745,0.441277,0.486401,0.495231,0.407582,0.497602,0.571364,0.55305,0.555842,0.53107,0.53724,0.498453,0.465412
0.49776,0.492105,0.526526,0.472165,0.528225,0.500471,0.475683,0.42421,0.474133,0.540134,0.516527,0.55339,0.467367,0.508609,0.518561,0.419341,0.49806,0.599757,0.563183,0.575407,0.545239,0.567365,0.514238,0.476412
0.504669,0.506114,0.544765,0.48469,0.547763,0.506984,0.486815,0.435338,0.489549,0.555621,0.533469,0.56208,0.48494,0.519555,0.522726,0.42732,0.508995,0.608436,0.580643,0.59019,0.551014,0.565793,0.519274,0.487047
0.514,0.515888,0.529255,0.493043,0.540336,0.529666,0.4997,0.445947,0.511371,0.568831,0.533083,0.56133,0.492879,0.529467,0.545437,0.43895,0.519069,0.611635,0.587041,0.590879,0.564796,0.569224,0.529597,0.490262
0.506755,0.511137,0.53807,0.491218,0.535021,0.51913,0.494604,0.449828,0.500362,0.563249,0.544386,0.56918,0.485732,0.533017,0.545007,0.446748,0.51846,0.61755,0.580158,0.58959,0.564111,0.569208,0.524941,0.486684
0.497246,0.507379,0.520374,0.486384,0.542159,0.516974,0.490425,0.442118,0.494383,0.556264,0.532976,0.560898,0.492931,0.521934,0.526006,0.445201,0.511207,0.598061,0.574926,0.579325,0.551868,0.568591,0.518733,0.485783
0.471221,0.489066,0.494143,0.473637,0.494184,0.491281,0.46728,0.428783,0.477104,0.534604,0.5143,0.524933,0.476966,0.496635,0.497266,0.433947,0.506797,0.599662,0.572823,0.575035,0.549916,0.551155,0.518517,0.486289
0.455683,0.480804,0.47432,0.459809,0.482252,0.473866,0.45834,0.422002,0.462002,0.516245,0.496433,0.507581,0.468755,0.488079,0.483862,0.424407,0.50608,0.608511,0.569317,0.57884,0.549115,0.557366,0.510905,0.478215
0.470318,0.488146,0.485675,0.479514,0.500519,0.488345,0.469651,0.43248,0.464302,0.524703,0.510084,0.51694,0.477893,0.496605,0.49671,0.439266,0.511029,0.602837,0.565488,0.573265,0.545174,0.554333,0.513828,0.48371
0.482587,0.496293,0.50351,0.492847,0.5266,0.515111,0.475195,0.443669,0.473339,0.541604,0.528094,0.53762,0.486642,0.512805,0.520852,0.453583,0.50222,0.594939,0.566684,0.556741,0.532989,0.5514,0.498978,0.470017
0.484432,0.506878,0.495286,0.49544,0.530541,0.519372,0.476821,0.458825,0.4709,0.539318,0.53407,0.545453,0.494998,0.511243,0.525879,0.461456,0.496446,0.580601,0.552546,0.558432,0.52453,0.528067,0.494005,0.454802
0.484264,0.496506,0.490282,0.503624,0.525031,0.521596,0.469235,0.446503,0.456629,0.528252,0.512121,0.53951,0.498794,0.512987,0.527432,0.460959,0.4755,0.54914,0.530744,0.528586,0.505025,0.513234,0.470294,0.441002
0.463098,0.486576,0.484133,0.484071,0.501206,0.504338,0.458986,0.436435,0.453488,0.511232,0.495654,0.521251,0.477912,0.489185,0.505326,0.4642,0.423713,0.505303,0.468753,0.480059,0.434293,0.451832,0.419068,0.412459
0.436834,0.445964,0.457458,0.470794,0.479207,0.493931,0.412409,0.421643,0.42316,0.47705,0.481238,0.490747,0.477452,0.460551,0.483058,0.458837,0.316139,0.356926,0.343237,0.333089,0.324164,0.319314,0.327146,0.284997
0.342552,0.385663,0.352409,0.384453,0.38382,0.400043,0.343386,0.342603,0.365418,0.37873,0.403089,0.411867,0.418473,0.3711,0.404083,0.399776,0.261052,0.310209,0.300817,0.279365,0.279877,0.271507,0.256892,0.236698
0.268309,0.285298,0.267516,0.279859,0.281589,0.305489,0.251695,0.265351,0.271009,0.305309,0.312313,0.308152,0.273334,0.268389,0.307725,0.263906,0.237679,0.264833,0.255422,0.280305,0.257638,0.280313,0.244206,0.232838
0.246866,0.244348,0.255092,0.266636,0.272891,0.294438,0.250222,0.246748,0.249575,0.289038,0.27126,0.281045,0.253373,0.279091,0.267048,0.235144,0.24005,0.277296,0.262871,0.276546,0.262157,0.271254,0.240564,0.213704
0.248806,0.218982,0.266351,0.236607,0.241658,0.252668,0.247445,0.23178,0.228983,0.259463,0.259373,0.262866,0.252594,0.252569,0.255741,0.208746,0.238594,0.27185,0.259015,0.269183,0.251246,0.235347,0.253299,0.201039
0.225407,0.243982,0.255087,0.238303,0.253494,0.248245,0.229648,0.221715,0.217093,0.258164,0.249565,0.268216,0.217881,0.224913,0.233553,0.202424,0.227901,0.264388,0.246944,0.242766,0.251738,0.24747,0.223893,0.20316
0.204647,0.234178,0.241164,0.199486,0.236856,0.236616,0.221509,0.188752,0.200732,0.23839,0.24878,0.241967,0.205645,0.229838,0.229123,0.193935,0.208008,0.251603,0.253823,0.229957,0.223416,0.228251,0.201667,0.193096
0.199951,0.207088,0.222791,0.208767,0.211701,0.233032,0.193556,0.19526,0.220773,0.236461,0.219567,0.235863,0.212057,0.214472,0.212519,0.179553,0.201677,0.218073,0.22703,0.241056,0.201511,0.21258,0.191107,0.207768
0.184112,0.194653,0.20639,0.159828,0.229054,0.210561,0.176393,0.176654,0.185946,0.215867,0.1996,0.21221,0.189986,0.201731,0.193593,0.166698,0.192935,0.222547,0.194414,0.214287,0.208918,0.194238,0.202799,0.185517
0.162015,0.172621,0.184448,0.1736,0.169184,0.196249,0.169782,0.168997,0.189059,0.187529,0.188356,0.184365,0.186408,0.19347,0.181725,0.151313,0.16952,0.19099,0.179611,0.197663,0.182011,0.183102,0.177757,0.166885
0.158913,0.147314,0.154398,0.1548,0.168652,0.139631,0.144812,0.151604,0.174705,0.171935,0.162811,0.16607,0.15331,0.154564,0.15175,0.139204,0.161552,0.170806,0.175129,0.177735,0.167537,0.157424,0.155342,0.152821
0.139367,0.128494,0.143434,0.121833,0.118126,0.121635,0.14218,0.127321,0.138896,0.151111,0.146887,0.143238,0.135363,0.137197,0.14355,0.101823,0.142537,0.147741,0.151218,0.143483,0.163976,0.158774,0.140065,0.136921
0.113614,0.113528,0.120569,0.103996,0.104207,0.107967,0.101712,0.102362,0.104617,0.118258,0.117882,0.112344,0.110085,0.116343,0.106018,0.107434,0.140624,0.139395,0.135472,0.133297,0.143701,0.122152,0.137753,0.132442
0.0966961,0.0989411,0.107538,0.0738914,0.0926734,0.0899965,0.0855568,0.102667,0.106613,0.0991153,0.101406,0.0985785,0.100446,0.0859443,0.0989759,0.105894,0.111718,0.13452,0.120474,0.126151,0.123458,0.126277,0.133712,0.135392
0.0849284,0.0893856,0.0737446,0.0759688,0.0810276,0.0865966,0.0854696,0.0836835,0.107879,0.0906365,0.0830678,0.0707788,0.0881742,0.0820897,0.0856999,0.0762664,0.127457,0.130164,0.11653,0.119187,0.120994,0.12368,0.115282,0.13479
0.0730153,0.0766116,0.0697047,0.0807135,0.0640104,0.0758505,0.0723529,0.0805738,0.0871534,0.080002,0.0729741,0.0730317,0.0676871,0.060982,0.0756376,0.0762272,0.128229,0.119191,0.108173,0.115902,0.113489,0.123653,0.118657,0.127251
0.0776887,0.0762408,0.0640324,0.0765306,0.0645164,0.0590744,0.0694194,0.0695905,0.0765665,0.071559,0.0710702,0.0613528,0.0727772,0.0579047,0.066319,0.0567097,0.120313,0.131415,0.118569,0.115807,0.12332,0.128326,0.12695,0.132826
0.0750762,0.0716368,0.0569664,0.0681519,0.0647061,0.0517856,0.0710864,0.0703954,0.0732588,0.0679185,0.0679122,0.0704528,0.0649156,0.0606425,0.0728592,0.067011,0.118219,0.133042,0.136538,0.126601,0.12476,0.136296,0.137276,0.132218
0.0777341,0.0685239,0.0617889,0.0713649,0.0731505,0.0713085,0.0598736,0.0824185,0.0722533,0.0767658,0.0673771,0.0660102,0.0776641,0.0649896,0.0867794,0.0708028,0.138112,0.134162,0.130657,0.135253,0.145646,0.140026,0.142373,0.129795
0.0740428,0.0947173,0.0901302,0.0793451,0.0770623,0.0959749,0.0915239,0.0957863,0.0821447,0.0862441,0.0916702,0.077867,0.100017,0.0773095,0.0857895,0.0879431,0.149543,0.170662,0.147769,0.167087,0.16585,0.163786,0.15406,0.144651
0.0957293,0.109912,0.104841,0.0985308,0.0946282,0.120516,0.104521,0.115825,0.111254,0.101292,0.0933432,0.0905504,0.114082,0.110254,0.101703,0.105091,0.174527,0.187925,0.192359,0.168831,0.180564,0.178745,0.183505,0.168224
0.127323,0.151686,0.135386,0.120065,0.144511,0.151116,0.122163,0.135349,0.133099,0.140781,0.137976,0.130196,0.128583,0.137158,0.126712,0.124103,0.198275,0.231884,0.213649,0.208547,0.216083,0.215278,0.213103,0.192084
0.163673,0.169904,0.180594,0.177833,0.169392,0.17034,0.1634,0.167384,0.156554,0.170519,0.176034,0.171511,0.162599,0.189715,0.18867,0.157602,0.202336,0.20587,0.21902,0.220283,0.211749,0.228354,0.210213,0.196677
0.178443,0.193412,0.191312,0.172708,0.208307,0.174645,0.170809,0.180229,0.176536,0.196163,0.196266,0.195897,0.178065,0.179294,0.182484,0.158225,0.19591,0.220929,0.214827,0.204174,0.208118,0.212346,0.216035,0.198043
0.15896,0.172031,0.179783,0.173322,0.181674,0.181699,0.162903,0.160901,0.162602,0.192503,0.183984,0.168299,0.176865,0.165105,0.176123,0.155694,0.201782,0.224968,0.220398,0.211986,0.214663,0.217369,0.204291,0.200592
0.156837,0.167318,0.169045,0.153689,0.166507,0.161505,0.164345,0.157302,0.155559,0.171344,0.166596,0.188752,0.157607,0.161795,0.153082,0.140855,0.187774,0.2064,0.200883,0.211646,0.199069,0.194459,0.184716,0.188517
0.145399,0.162538,0.152212,0.14312,0.157536,0.14685,0.141499,0.134843,0.156824,0.172614,0.158442,0.15385,0.137909,0.158712,0.161669,0.130424,0.184873,0.195335,0.196593,0.194086,0.199103,0.191124,0.189879,0.19689
0.140514,0.144389,0.148342,0.132728,0.135814,0.141716,0.142973,0.13495,0.151059,0.14627,0.149132,0.155027,0.141368,0.146993,0.141987,0.124199,0.181821,0.194701,0.197367,0.192759,0.189217,0.195879,0.191594,0.175228
0.144007,0.138153,0.141634,0.126803,0.128273,0.127326,0.139249,0.125224,0.143177,0.146192,0.13608,0.14048,0.135167,0.143593,0.136799,0.130935,0.189263,0.202171,0.192371,0.19498,0.194657,0.198418,0.186322,0.184486
0.137465,0.146548,0.133537,0.126418,0.131308,0.125914,0.13202,0.126738,0.144439,0.145725,0.136415,0.13318,0.1332,0.135098,0.137103,0.123034,0.198363,0.201446,0.19007,0.192495,0.196508,0.191355,0.199799,0.203256
0.139296,0.144369,0.136017,0.131583,0.13421,0.13076,0.131432,0.128087,0.143568,0.144786,0.134178,0.142435,0.139993,0.126683,0.14948,0.127161,0.200745,0.207291,0.203256,0.204295,0.208561,0.210251,0.203212,0.206118
0.155246,0.154912,0.138554,0.135491,0.145251,0.139133,0.136727,0.143491,0.154385,0.141102,0.136233,0.139254,0.148223,0.148582,0.147749,0.145088,0.212179,0.230146,0.232901,0.230978,0.231259,0.22722,0.221649,0.203609
0.156865,0.168885,0.153643,0.153237,0.159268,0.163714,0.151756,0.153952,0.161014,0.16422,0.161606,0.155269,0.15654,0.159754,0.164032,0.149562,0.234348,0.261315,0.25508,0.249352,0.246811,0.252198,0.238113,0.231844
0.179435,0.189046,0.1744,0.173135,0.181486,0.183868,0.171105,0.16697,0.172432,0.179764,0.18048,0.183786,0.17764,0.184468,0.183807,0.166777,0.262356,0.307094,0.290759,0.286224,0.277651,0.287942,0.283876,0.252926
0.205131,0.214737,0.212209,0.209363,0.209538,0.207489,0.194772,0.189852,0.183003,0.208842,0.213526,0.215432,0.204232,0.212394,0.212959,0.193963,0.301399,0.354553,0.336558,0.340834,0.330464,0.323791,0.315459,0.295776
0.241826,0.242356,0.255563,0.245455,0.260337,0.263563,0.239735,0.231373,0.218936,0.255595,0.25261,0.250439,0.252147,0.253401,0.249809,0.223156,0.358586,0.418306,0.400097,0.410867,0.392432,0.396772,0.362165,0.344319
0.293773,0.309232,0.312758,0.302953,0.332258,0.328977,0.285836,0.285691,0.269671,0.322236,0.306814,0.321605,0.299213,0.314601,0.302058,0.25631,0.435721,0.527925,0.526287,0.519191,0.50665,0.503149,0.448508,0.41439
0.387396,0.393348,0.410108,0.391388,0.434631,0.440768,0.382978,0.365699,0.339231,0.415636,0.392755,0.415312,0.390645,0.406518,0.393583,0.333615,0.512086,0.611776,0.573465,0.584139,0.556368,0.547077,0.495135,0.463628
0.47816,0.467998,0.503983,0.469104,0.521505,0.515896,0.471243,0.420681,0.416703,0.507127,0.481327,0.512005,0.470319,0.492285,0.489033,0.390355,0.501537,0.622706,0.593519,0.599783,0.553529,0.568777,0.51457,0.466951
0.494591,0.501459,0.529815,0.502492,0.537873,0.541581,0.489529,0.430773,0.448317,0.54474,0.504695,0.546122,0.511414,0.527779,0.514673,0.42205,0.497861,0.604693,0.579844,0.564482,0.545856,0.548879,0.494625,0.451139
0.478258,0.490622,0.499362,0.505382,0.538804,0.520598,0.486969,0.418102,0.459078,0.536038,0.509306,0.554256,0.497393,0.519491,0.51606,0.409653,0.479331,0.584857,0.555066,0.551937,0.523503,0.526173,0.484337,0.443244
0.466386,0.484031,0.498499,0.474326,0.526657,0.510697,0.450707,0.407007,0.431623,0.503419,0.494168,0.522743,0.481004,0.49905,0.493398,0.40924,0.446772,0.543294,0.528163,0.506585,0.483622,0.496993,0.454146,0.417102
0.437112,0.446554,0.457543,0.444153,0.474748,0.484122,0.43835,0.390656,0.409562,0.490062,0.463087,0.492719,0.445338,0.471789,0.456911,0.385522,0.407513,0.47945,0.468426,0.443815,0.424621,0.436931,0.409423,0.379714
0.397559,0.391721,0.402598,0.389375,0.418516,0.412259,0.383057,0.353627,0.374192,0.439725,0.416052,0.434998,0.381362,0.40598,0.408766,0.348356,0.357182,0.423908,0.39909,0.398691,0.395246,0.38613,0.363276,0.334767
0.331157,0.35035,0.364643,0.342167,0.365501,0.363328,0.33633,0.302668,0.324645,0.375009,0.368629,0.383461,0.344235,0.357137,0.347291,0.301624,0.293284,0.350369,0.33306,0.31384,0.322289,0.321149,0.304104,0.29792
0.294131,0.292308,0.293192,0.271498,0.289796,0.296575,0.270012,0.26806,0.294598,0.319087,0.313046,0.325862,0.295438,0.305187,0.297721,0.271791,0.259897,0.290755,0.289566,0.281771,0.268281,0.282741,0.269022,0.245401
0.240908,0.246116,0.238826,0.230653,0.248557,0.236312,0.223053,0.216007,0.238362,0.263078,0.258233,0.257829,0.246028,0.248176,0.250554,0.214709,0.261013,0.277732,0.27414,0.276343,0.268946,0.272156,0.262274,0.250075
0.21803,0.22037,0.228864,0.204439,0.233388,0.22374,0.216611,0.200128,0.237923,0.239839,0.228947,0.24262,0.203544,0.227734,0.236795,0.203413,0.257317,0.287418,0.277721,0.278632,0.263645,0.281756,0.270472,0.263082
0.223945,0.225815,0.230123,0.208912,0.236266,0.223257,0.222121,0.201366,0.227473,0.244265,0.238256,0.240839,0.216228,0.22981,0.227909,0.191761,0.26353,0.289537,0.276537,0.27812,0.267676,0.283025,0.26948,0.267003
0.229421,0.22332,0.248666,0.208318,0.230691,0.218179,0.22257,0.20911,0.231859,0.249582,0.235079,0.239818,0.214799,0.229719,0.238404,0.205756,0.259169,0.286121,0.272887,0.282204,0.277213,0.276681,0.270349,0.265111
0.227202,0.233852,0.231426,0.216711,0.238527,0.226796,0.222044,0.212177,0.233166,0.24697,0.234429,0.24099,0.225345,0.229499,0.240308,0.211589,0.260454,0.290546,0.275466,0.275736,0.279068,0.276317,0.261543,0.261019
0.222423,0.229909,0.226724,0.221855,0.228218,0.223431,0.218786,0.215324,0.225513,0.241962,0.237511,0.235254,0.221324,0.227723,0.239118,0.211921,0.26055,0.28037,0.275099,0.279604,0.271398,0.276705,0.265125,0.271635
0.220709,0.227557,0.229607,0.220887,0.224794,0.224935,0.21311,0.211789,0.223134,0.240965,0.23522,0.237587,0.220888,0.224133,0.232507,0.213804,0.256888,0.279487,0.2733,0.27088,0.270041,0.271686,0.260147,0.2585
0.221772,0.230032,0.222048,0.223581,0.225148,0.229062,0.215458,0.209095,0.223914,0.236369,0.236539,0.231349,0.222664,0.221987,0.237411,0.216224,0.25662,0.27261,0.265314,0.264795,0.260853,0.262148,0.259158,0.2522
0.215709,0.226481,0.213714,0.216214,0.226802,0.227454,0.218001,0.209597,0.226194,0.230897,0.226888,0.22264,0.222295,0.221639,0.222357,0.21503,0.246726,0.265535,0.259806,0.260153,0.268541,0.259099,0.242063,0.24686
0.209838,0.218874,0.215696,0.218663,0.224989,0.222522,0.211872,0.21051,0.20541,0.223722,0.226283,0.212088,0.2199,0.218492,0.229449,0.218903,0.250216,0.279477,0.278561,0.263352,0.261616,0.263521,0.256907,0.243908
0.207099,0.216227,0.212167,0.223127,0.220028,0.235308,0.202088,0.210923,0.20419,0.218488,0.225528,0.213924,0.230308,0.206611,0.21993,0.222899,0.266779,0.303962,0.292796,0.286071,0.272885,0.260937,0.268851,0.256894
0.218606,0.243371,0.23104,0.242077,0.231981,0.241976,0.218307,0.231486,0.209778,0.243792,0.236929,0.227248,0.254209,0.233134,0.25691,0.252652,0.272554,0.305645,0.289721,0.297313,0.290721,0.275866,0.258778,0.238049
0.243568,0.259088,0.263016,0.259382,0.25755,0.271323,0.237083,0.272032,0.236223,0.251864,0.279541,0.287729,0.283539,0.26205,0.282467,0.258638,0.256377,0.322413,0.297287,0.300775,0.285826,0.275274,0.259283,0.254868
