V05[1.2],V06[7.8],V08[6.9],V12[11.9],V16[6.0],V20[5.7],V24[5.5],V27[1.7],N05[1.8],N06[5.2],N08[6.5],N12[7.0],N16[9.0],N20[10.5],N24[16.7],N28[3.6],S06[1.4],S07[6.5],S09[8.1],S13[10.3],S17[19.0],S21[11.2],S25[12.2],S29[4.9],V05[1.7],V06[9.6],V08[6.1],V12[7.4],V16[7.5],V20[6.9],V24[7.8],V28[2.6]
0.473288,0.475849,0.449681,0.479164,0.495022,0.485351,0.468757,0.428688,0.455367,0.519186,0.49361,0.511861,0.500555,0.508454,0.481472,0.432317,0.504779,0.590946,0.548047,0.539591,0.528665,0.543088,0.493217,0.468231,0.525308,0.562139,0.562684,0.569916,0.55493,0.532133,0.51523,0.518054
0.487501,0.477315,0.456786,0.494439,0.522282,0.508664,0.473286,0.442145,0.464132,0.531185,0.513775,0.530084,0.51436,0.525211,0.504129,0.445499,0.486584,0.589288,0.541839,0.524837,0.522635,0.533689,0.480643,0.455876,0.517384,0.569128,0.560844,0.550735,0.554645,0.523217,0.515386,0.510329
0.496381,0.492118,0.451973,0.4936,0.51192,0.518557,0.479433,0.448575,0.459454,0.529251,0.515723,0.527796,0.520026,0.52377,0.508068,0.456488,0.486613,0.57387,0.532035,0.513948,0.509723,0.524433,0.464944,0.448659,0.502757,0.545965,0.543617,0.541684,0.538553,0.509375,0.502545,0.490852
0.506841,0.486746,0.44669,0.4946,0.509524,0.520622,0.467967,0.442435,0.448563,0.520519,0.499323,0.523399,0.512353,0.516242,0.501693,0.450856,0.458641,0.551971,0.506951,0.487044,0.492008,0.505687,0.444232,0.42546,0.483388,0.534043,0.533717,0.53614,0.52276,0.490856,0.484648,0.473323
0.490111,0.472784,0.439773,0.471746,0.488665,0.498874,0.458027,0.43439,0.437619,0.499517,0.4906,0.508759,0.490534,0.494955,0.488333,0.453281,0.411035,0.488675,0.456866,0.435537,0.434342,0.448081,0.405846,0.386921,0.439082,0.482131,0.476092,0.473242,0.467123,0.446691,0.423797,0.406647
0.481532,0.428408,0.422465,0.44429,0.446787,0.477297,0.428998,0.412979,0.409215,0.466534,0.473883,0.475359,0.495872,0.462433,0.458289,0.44651,0.316696,0.359983,0.329665,0.312667,0.324796,0.320943,0.311399,0.272742,0.320877,0.345813,0.3536,0.338371,0.332058,0.307452,0.31833,0.289076
0.405722,0.355655,0.327251,0.350278,0.374822,0.388114,0.347156,0.340973,0.351486,0.376569,0.405264,0.406494,0.435818,0.385851,0.378288,0.375,0.256238,0.311284,0.284019,0.281142,0.2676,0.261338,0.24256,0.208196,0.281714,0.28686,0.29163,0.293515,0.311715,0.271161,0.272971,0.26625
0.29062,0.276776,0.247521,0.28347,0.27585,0.295833,0.245444,0.254032,0.241031,0.30227,0.295622,0.293175,0.30663,0.274248,0.285783,0.271783,0.231286,0.267735,0.252785,0.281334,0.250778,0.262988,0.210226,0.226896,0.256024,0.293889,0.28275,0.254354,0.278616,0.26394,0.25656,0.266958
0.259143,0.233397,0.218425,0.267584,0.270063,0.279275,0.268635,0.232202,0.218312,0.276299,0.270966,0.273126,0.269106,0.257296,0.247859,0.235748,0.238118,0.28462,0.252219,0.264519,0.255555,0.262217,0.236131,0.209817,0.244613,0.249234,0.265303,0.243435,0.264591,0.25805,0.247127,0.231349
0.259729,0.223028,0.232708,0.258426,0.2463,0.228759,0.246072,0.226052,0.227097,0.246606,0.239981,0.249978,0.245989,0.266111,0.247641,0.207976,0.233429,0.261778,0.251201,0.255785,0.255318,0.243504,0.243882,0.206313,0.240876,0.262471,0.26935,0.253745,0.265952,0.236877,0.219281,0.22293
0.237855,0.235797,0.213739,0.247414,0.226868,0.247757,0.222387,0.195067,0.219839,0.254346,0.246203,0.253353,0.222795,0.256779,0.213427,0.187644,0.231517,0.247368,0.244398,0.248511,0.243232,0.25073,0.207701,0.212014,0.244201,0.267061,0.254139,0.234535,0.245659,0.221773,0.253663,0.238924
0.225751,0.208848,0.198482,0.215287,0.228095,0.234591,0.204684,0.18836,0.206921,0.24053,0.230645,0.24237,0.22355,0.235089,0.221676,0.196204,0.203357,0.262328,0.221919,0.220833,0.205141,0.230988,0.212337,0.190625,0.226411,0.241697,0.229832,0.227652,0.2372,0.203083,0.22082,0.216278
0.213374,0.202216,0.201261,0.20663,0.225105,0.234661,0.194352,0.189539,0.200114,0.237646,0.214274,0.230865,0.225526,0.208258,0.200643,0.174874,0.19999,0.226264,0.210856,0.210181,0.200029,0.205973,0.190002,0.184784,0.203834,0.22523,0.218925,0.223368,0.22139,0.222529,0.194681,0.213801
0.200885,0.185933,0.190805,0.161153,0.215143,0.196089,0.199251,0.176869,0.178298,0.20802,0.186285,0.212529,0.205752,0.202373,0.182419,0.178189,0.190229,0.207739,0.209344,0.194586,0.201922,0.184151,0.187012,0.18132,0.201032,0.204646,0.211386,0.197058,0.215364,0.196036,0.186502,0.184769
0.159367,0.170767,0.164122,0.179279,0.173695,0.177695,0.179145,0.155507,0.182924,0.192909,0.173152,0.170375,0.180696,0.182092,0.17136,0.164225,0.170579,0.199185,0.188565,0.181468,0.184258,0.192605,0.171003,0.172911,0.181802,0.20071,0.188163,0.176356,0.174863,0.162424,0.172787,0.185449
0.156483,0.144449,0.140239,0.157365,0.164235,0.145405,0.147912,0.146466,0.157228,0.156754,0.156283,0.159318,0.150077,0.163267,0.136938,0.150468,0.15299,0.172054,0.176155,0.171695,0.17849,0.158519,0.151317,0.151629,0.154667,0.184103,0.16814,0.157894,0.158453,0.144388,0.148681,0.179889
0.146559,0.132086,0.129222,0.130371,0.120795,0.122125,0.137839,0.136428,0.144962,0.146718,0.137869,0.130555,0.135071,0.136088,0.14498,0.110613,0.159063,0.154437,0.146229,0.14913,0.165465,0.149701,0.148723,0.139115,0.136731,0.149663,0.137272,0.154131,0.147798,0.145268,0.145335,0.157797
0.113099,0.116148,0.102449,0.0979144,0.112632,0.110589,0.0996166,0.110729,0.106044,0.111942,0.112513,0.117208,0.107676,0.124591,0.116984,0.117873,0.127394,0.149245,0.125223,0.123285,0.14144,0.126177,0.130088,0.122132,0.122354,0.145648,0.131287,0.151094,0.139092,0.129903,0.13371,0.15057
0.0895522,0.100285,0.0932407,0.0717577,0.0915299,0.094809,0.0872908,0.100704,0.104206,0.111463,0.0966667,0.101997,0.0918554,0.0998125,0.0876717,0.106546,0.115693,0.142608,0.120524,0.124543,0.13129,0.132634,0.126316,0.128779,0.124288,0.119934,0.11577,0.128191,0.108894,0.115984,0.117712,0.122322
0.0766675,0.0873294,0.082077,0.0694667,0.0826019,0.0886357,0.0931456,0.0861242,0.0872002,0.0918365,0.0693898,0.0765598,0.0814571,0.0853457,0.0830151,0.0781522,0.11614,0.127457,0.124052,0.119624,0.118901,0.116984,0.11372,0.131448,0.131444,0.125726,0.111991,0.113144,0.120883,0.10641,0.117238,0.135184
0.0830899,0.0794215,0.0698923,0.0667193,0.0750238,0.0627532,0.0718615,0.079734,0.0704648,0.076991,0.07829,0.0650155,0.0711523,0.0737383,0.0680391,0.0727119,0.127801,0.119663,0.118481,0.126924,0.11887,0.11524,0.121839,0.119562,0.116683,0.112424,0.119365,0.124005,0.10991,0.102184,0.107135,0.126213
0.0861899,0.0667949,0.0652982,0.069133,0.0588931,0.054931,0.0718498,0.0839504,0.0799412,0.0707768,0.0828213,0.0577038,0.0741188,0.0636683,0.053211,0.0590353,0.112337,0.119204,0.129636,0.119835,0.121456,0.119615,0.122505,0.129979,0.127305,0.121798,0.113793,0.115512,0.117357,0.111071,0.119791,0.138872
0.0701856,0.0741421,0.0512293,0.0668647,0.0606644,0.0511917,0.069616,0.0753011,0.0721194,0.0655115,0.0661179,0.065349,0.0635456,0.0631278,0.0688681,0.0591422,0.129024,0.128498,0.139071,0.120634,0.132911,0.130083,0.118111,0.118768,0.127064,0.131258,0.117194,0.125345,0.11767,0.122856,0.118922,0.137882
0.0877509,0.0700243,0.0652076,0.0687539,0.0746814,0.0755536,0.0593331,0.0816126,0.0746694,0.0748204,0.0704031,0.0635096,0.0705309,0.0825831,0.0869121,0.0671837,0.134193,0.130826,0.137736,0.14234,0.134976,0.155368,0.132583,0.123455,0.147081,0.130909,0.128158,0.131222,0.144133,0.125177,0.142159,0.146478
0.087349,0.0856,0.0816271,0.07289,0.0835704,0.0869895,0.0956619,0.0977866,0.0796056,0.0853577,0.0778567,0.0761972,0.0862879,0.0837557,0.0924967,0.0864352,0.13754,0.159476,0.152885,0.165932,0.152565,0.156327,0.153971,0.153785,0.151143,0.155414,0.157755,0.158571,0.161402,0.150067,0.143051,0.158333
0.0977452,0.102892,0.0950271,0.0976737,0.0983399,0.106908,0.11952,0.110462,0.0936493,0.110733,0.103268,0.0938547,0.109376,0.119859,0.0985821,0.0986543,0.175829,0.190824,0.185067,0.161755,0.178962,0.174161,0.183143,0.17552,0.188513,0.200345,0.183971,0.185767,0.187396,0.16388,0.181582,0.177282
0.14054,0.134263,0.114641,0.125258,0.133821,0.147353,0.134394,0.132587,0.115789,0.143802,0.124972,0.122516,0.125791,0.124065,0.113422,0.125764,0.192921,0.236058,0.222311,0.209147,0.210818,0.211126,0.193761,0.18335,0.196331,0.219282,0.216373,0.225067,0.224484,0.200866,0.199287,0.20199
0.164476,0.1678,0.155953,0.168333,0.162118,0.174253,0.163807,0.16596,0.147439,0.162175,0.169916,0.167684,0.163879,0.184853,0.166202,0.145124,0.191037,0.223423,0.212319,0.206428,0.211804,0.220007,0.212015,0.187358,0.214966,0.215869,0.233787,0.21942,0.216791,0.222458,0.206104,0.203946
0.182665,0.188489,0.166512,0.165552,0.188144,0.170749,0.176805,0.164794,0.168654,0.19215,0.19142,0.200753,0.1716,0.180835,0.170482,0.152992,0.187097,0.217181,0.205406,0.204041,0.211402,0.214541,0.199431,0.196403,0.179034,0.21467,0.225709,0.206201,0.209101,0.201172,0.202921,0.208083
0.154975,0.17337,0.169398,0.163987,0.173591,0.187183,0.168357,0.156112,0.16714,0.193055,0.188183,0.175652,0.182181,0.181146,0.176447,0.157517,0.194211,0.209505,0.210627,0.210372,0.213743,0.204544,0.197122,0.182951,0.195603,0.223707,0.198607,0.205144,0.202086,0.195757,0.206343,0.205438
0.147623,0.160292,0.160034,0.157242,0.175701,0.167844,0.153561,0.152106,0.153902,0.179924,0.160556,0.184922,0.164286,0.167259,0.145535,0.14101,0.191301,0.208606,0.201512,0.197342,0.203589,0.19114,0.192041,0.187726,0.184277,0.201006,0.187017,0.207497,0.204613,0.182992,0.196293,0.202006
0.13945,0.155056,0.142587,0.147153,0.152946,0.149081,0.152803,0.140473,0.143691,0.173757,0.150502,0.147395,0.145021,0.170847,0.152705,0.131028,0.174778,0.19974,0.19871,0.189888,0.201844,0.188316,0.189272,0.183351,0.183597,0.191566,0.186437,0.19391,0.181209,0.174161,0.178477,0.202149
0.144259,0.142111,0.137402,0.133966,0.143105,0.145467,0.146486,0.1249,0.141599,0.151742,0.142373,0.143137,0.143507,0.146552,0.138053,0.127436,0.173682,0.202568,0.192959,0.184905,0.188368,0.192829,0.190476,0.189444,0.175309,0.186815,0.181118,0.201446,0.185468,0.171041,0.191752,0.199577
0.129356,0.13799,0.131955,0.128056,0.144782,0.12925,0.145274,0.132136,0.136387,0.137027,0.133051,0.136213,0.135682,0.147318,0.128741,0.130772,0.182626,0.188903,0.18818,0.188531,0.200983,0.190725,0.179746,0.188311,0.18233,0.190215,0.184886,0.190544,0.187301,0.176721,0.184873,0.197168
0.130278,0.144188,0.127379,0.125792,0.127287,0.125077,0.130013,0.129984,0.129207,0.151886,0.140583,0.126505,0.136415,0.139967,0.132669,0.126957,0.188114,0.196227,0.191661,0.201658,0.192246,0.18828,0.194134,0.196495,0.185319,0.189859,0.187703,0.197975,0.191389,0.178871,0.193421,0.206733
